2025-04-20 21:18:22 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-20 21:18:22 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-04-20 21:18:23 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2025-04-20 21:18:23 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-20 21:18:23 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-04-20 21:18:23 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-04-20 21:18:24 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2025-04-20 21:18:24 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5050"]
2025-04-20 21:18:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 5050 (http) with context path '/'
2025-04-20 21:18:24 [main] INFO  c.u.rental.rental.RentalApplication - Started RentalApplication in 6.355 seconds (process running for 6.751)
2025-04-20 21:18:24 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Count authority
2025-04-20 21:18:24 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A0, description=A0)
2025-04-20 21:18:24 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A1, description=A1)
2025-04-20 21:18:24 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A2, description=A2)
2025-04-20 21:18:24 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A3, description=A3)
2025-04-20 21:18:24 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A4, description=A4)
2025-04-20 21:18:24 [main] INFO  c.u.r.r.service.impl.RoleServiceImpl - Count role
2025-04-20 21:18:24 [main] INFO  c.u.r.r.service.impl.UserServiceImpl - Count user
2025-04-20 21:20:59 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-04-20 21:20:59 [main] INFO  c.u.rental.rental.RentalApplication - Starting RentalApplication using Java 17.0.10 with PID 6328 (D:\UTC\quanlynhatro\rental\target\classes started by admin in D:\UTC\quanlynhatro\rental)
2025-04-20 21:20:59 [main] INFO  c.u.rental.rental.RentalApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-20 21:21:00 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-20 21:21:00 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 97 ms. Found 6 JPA repository interfaces.
2025-04-20 21:21:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 5050 (http)
2025-04-20 21:21:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5050"]
2025-04-20 21:21:01 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-20 21:21:01 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-04-20 21:21:01 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-20 21:21:01 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2102 ms
2025-04-20 21:21:02 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-04-20 21:21:02 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@42a05533
2025-04-20 21:21:02 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
